iter,nth,x,iter_converged,error,time_1,time_2,result
309,865,947,30,1.7602e-06,0.003,0.002677,1.00796
310,744,796,30,1.47894e-06,0.003,0.002704,1.00902
311,248,914,30,1.69873e-06,0.002,0.002795,1.02787
312,867,372,29,1.37836e-06,0.003,0.002691,1.00685
313,385,249,28,1.84029e-06,0.003,0.002819,1.01443
314,97,328,29,1.21444e-06,0.002,0.002967,1.06154
315,487,672,30,1.24797e-06,0.003,0.002811,1.01346
316,624,51,26,1.46031e-06,0.003,0.002565,1.00632
317,529,745,30,1.38395e-06,0.002,0.002723,1.01258
318,901,409,29,1.51619e-06,0.004,0.002799,1.0067
319,935,998,30,1.85519e-06,0.004,0.002731,1.00741
320,563,350,29,1.2964e-06,0.002,0.002735,1.01046
321,980,987,30,1.83471e-06,0.003,0.002648,1.00706
322,319,734,30,1.36346e-06,0.003,0.002813,1.0209
323,142,628,30,1.16602e-06,0.002,0.00288,1.04642
324,990,857,30,1.59256e-06,0.003,0.002768,1.00685
325,794,630,30,1.16974e-06,0.003,0.002852,1.00815
326,243,491,29,1.82167e-06,0.002,0.002783,1.02583
327,526,709,30,1.31689e-06,0.003,0.002796,1.01256
328,12,540,30,1.0021e-06,0.003,0.002993,1.68927
329,273,629,30,1.16788e-06,0.002,0.002807,1.02389
330,664,621,30,1.15298e-06,0.003,0.002719,1.00973
331,939,937,30,1.74157e-06,0.004,0.002747,1.00731
332,831,863,30,1.60374e-06,0.003,0.002772,1.00817
333,124,973,30,1.80863e-06,0.004,0.002939,1.05706
334,454,147,28,1.08033e-06,0.003,0.002699,1.01105
335,142,273,29,1.00955e-06,0.002,0.002819,1.04029
336,288,225,28,1.66148e-06,0.003,0.002726,1.01898
337,983,249,28,1.84029e-06,0.002,0.00266,1.00563
338,639,721,30,1.33924e-06,0.003,0.002778,1.01035
339,258,598,30,1.11014e-06,0.004,0.002864,1.02509
340,804,375,29,1.38953e-06,0.003,0.002623,1.0074
341,324,404,29,1.49757e-06,0.002,0.002847,1.01869
342,821,721,30,1.33924e-06,0.003,0.002795,1.00805
343,307,320,29,1.18464e-06,0.003,0.002802,1.01897
344,484,107,27,1.56462e-06,0.003,0.002693,1.0097
345,137,849,30,1.57766e-06,0.004,0.002738,1.05046
346,789,27,25,1.49012e-06,0.003,0.002541,1.00419
347,659,879,30,1.63354e-06,0.002,0.002816,1.01034
348,724,513,29,1.90362e-06,0.003,0.002599,1.00866
349,278,542,30,1.00583e-06,0.002,0.002871,1.0229
350,991,810,30,1.50502e-06,0.002,0.002768,1.00678
351,950,739,30,1.37277e-06,0.003,0.002803,1.00698
352,602,967,30,1.79745e-06,0.002,0.002841,1.01148
353,244,621,30,1.15298e-06,0.003,0.002819,1.02671
354,84,480,29,1.78069e-06,0.003,0.002908,1.07627
355,997,709,30,1.31689e-06,0.002,0.002788,1.0066
356,971,371,29,1.37463e-06,0.002,0.002632,1.00611
358,844,585,30,1.08592e-06,0.003,0.002778,1.00758
359,870,679,30,1.26101e-06,0.002,0.002784,1.00752
360,703,266,28,1.96695e-06,0.002,0.002564,1.00797
361,446,553,30,1.02632e-06,0.004,0.002748,1.01426
362,278,757,30,1.4063e-06,0.003,0.002917,1.02413
363,457,891,30,1.65589e-06,0.003,0.00281,1.01497
364,999,242,28,1.78814e-06,0.003,0.002688,1.00551
365,218,667,30,1.23866e-06,0.003,0.002857,1.03028
366,790,101,27,1.47521e-06,0.002,0.002487,1.00586
367,329,262,28,1.93715e-06,0.004,0.002709,1.01707
368,60,124,27,1.81794e-06,0.003,0.002783,1.08365
369,677,309,29,1.14366e-06,0.002,0.002701,1.0085
370,885,17,24,1.78814e-06,0.003,0.002482,1.00321
371,411,400,29,1.48267e-06,0.003,0.002837,1.01469
372,100,934,30,1.73599e-06,0.003,0.002806,1.07079
373,203,128,27,1.87755e-06,0.003,0.002836,1.02419
374,39,587,30,1.08965e-06,0.002,0.0029,1.17758
375,954,348,29,1.28895e-06,0.002,0.002738,1.00615
376,748,674,30,1.2517e-06,0.003,0.002715,1.00874
377,873,436,29,1.61678e-06,0.003,0.002654,1.00699
378,592,23,25,1.2517e-06,0.002,0.002524,1.00531
379,570,716,30,1.32993e-06,0.003,0.002793,1.0116
380,60,891,30,1.65589e-06,0.002,0.002855,1.11986
381,888,57,26,1.63913e-06,0.002,0.002733,1.00456
382,850,542,30,1.00583e-06,0.003,0.002744,1.00743
383,724,485,29,1.79932e-06,0.003,0.002678,1.00858
384,541,33,25,1.84774e-06,0.003,0.002469,1.00648
385,495,784,30,1.45659e-06,0.003,0.00281,1.01355
386,344,323,29,1.19582e-06,0.002,0.002773,1.01694
